Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	17		336	368	#N/A	#N/A	1424	0.10 %	0.60	40.01	48.07	1.20	0.205	0.441	1.148	0.199	627.947	0.047	0.190	0.486	0.074	270.678	0.000	0.166	0.591	0.122	235.948	0.000	0.059	0.455	0.085	84.080	0.123	0.568	1.429	0.290	809.211	0.000	0.038	0.163	0.029	54.286	0.004	0.154	0.591	0.120	218.926	0.463	0.783	1.251	0.164	1114.482			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	18		88	440	#N/A	#N/A	960	0.07 %	0.50	30.43	49.24	1.62	0.213	0.412	1.320	0.227	395.487	0.056	0.188	0.465	0.060	180.652	0.000	0.109	0.413	0.072	104.940	0.000	0.081	1.602	0.143	77.979	0.073	0.488	0.944	0.125	468.079	0.000	0.032	0.161	0.027	30.403	0.015	0.116	0.468	0.093	111.742	0.521	0.744	0.929	0.060	714.361			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	19		188	636	#N/A	#N/A	1440	0.10 %	0.29	37.85	73.33	1.94	0.183	0.378	1.141	0.169	545.010	0.052	0.325	1.458	0.284	467.606	0.000	0.228	1.377	0.237	327.651	0.000	1.033	8.528	1.813	1487.042	0.000	0.636	3.466	0.416	916.043	0.000	0.093	0.732	0.135	134.030	0.005	0.105	0.306	0.053	151.503	0.559	0.798	1.041	0.082	1148.633			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	20		130	750	#N/A	#N/A	1344	0.09 %	0.38	36.26	64.18	1.77	0.211	0.456	0.914	0.172	612.843	0.062	0.177	0.397	0.050	237.605	0.000	0.116	0.383	0.088	155.706	0.000	0.099	0.796	0.113	132.824	0.086	0.447	0.973	0.134	601.024	0.000	0.026	0.145	0.026	35.194	0.020	0.168	0.851	0.183	225.668	0.532	0.783	1.134	0.117	1051.909			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	21		1030	976	#N/A	#N/A	2352	0.16 %	0.33	43.62	81.65	1.87	0.206	0.490	2.107	0.332	1152.110	0.000	0.283	1.072	0.160	665.299	0.000	0.488	1.668	0.311	1148.173	0.000	3.078	9.896	2.183	7238.903	0.000	0.670	2.544	0.404	1574.784	0.000	0.092	0.382	0.067	216.114	0.003	0.258	2.034	0.373	606.590	0.514	0.824	1.191	0.084	1938.995			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	22		474	358	#N/A	#N/A	308768	21.33 %	0.02	716.81	949.19	1.32	0.116	0.370	3.643	0.252	114127.089	0.000	0.194	2.491	0.163	59914.201	0.000	0.119	1.273	0.111	36842.109	0.000	0.235	8.730	0.501	72475.680	0.000	0.448	3.021	0.214	138433.377	0.000	0.039	2.574	0.069	12123.736	0.000	0.053	0.502	0.023	16516.824	0.214	0.704	1.517	0.116	217507.809			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	23		966	26	#N/A	#N/A	2016	0.14 %	0.30	52.21	84.02	1.61	0.213	0.415	1.621	0.208	837.589	0.000	0.251	0.919	0.175	505.634	0.000	0.199	1.281	0.199	400.826	0.000	0.788	8.370	1.034	1588.788	0.000	0.535	2.195	0.345	1078.042	0.000	0.057	0.437	0.060	114.459	0.002	0.066	0.186	0.026	133.654	0.482	0.795	1.491	0.147	1603.024			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	24		1070	58	#N/A	#N/A	2816	0.19 %	0.35	58.03	86.24	1.49	0.195	0.330	0.813	0.122	930.399	0.000	0.154	0.467	0.073	433.190	0.000	0.116	0.847	0.117	327.365	0.000	0.229	4.780	0.542	643.606	0.000	0.412	1.560	0.242	1159.081	0.000	0.025	0.190	0.025	70.565	0.000	0.060	0.172	0.024	167.995	0.430	0.734	1.350	0.162	2067.604			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	25		1178	86	#N/A	#N/A	7104	0.49 %	0.22	113.96	131.62	1.15	0.201	0.424	2.221	0.254	3008.592	0.000	0.233	1.221	0.129	1658.580	0.000	0.213	1.439	0.170	1513.322	0.000	0.929	8.452	1.269	6599.310	0.000	0.513	2.007	0.228	3645.918	0.000	0.046	0.304	0.043	326.185	0.001	0.065	0.494	0.032	463.401	0.525	0.812	1.346	0.088	5768.420			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	26		1240	126	#N/A	#N/A	1712	0.12 %	0.30	31.37	92.51	2.95	0.257	0.514	2.508	0.348	879.754	0.032	0.191	0.629	0.061	326.432	0.000	0.174	1.132	0.118	297.067	0.000	0.331	6.184	0.735	566.130	0.000	0.539	1.273	0.166	922.871	0.000	0.030	0.142	0.025	50.626	0.009	0.058	0.123	0.017	99.960	0.581	0.879	1.207	0.104	1504.959			0	0	0	0	
