Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	1		818	314	#N/A	#N/A	214416	14.81 %	0.03	630.51	866.87	1.37	0.176	1.007	3.973	0.654	215972.077	0.000	0.261	3.705	0.200	56041.047	0.000	0.460	7.390	0.480	98648.798	0.000	3.172	35.970	3.129	680106.834	0.000	0.742	32.649	1.127	158999.557	0.000	0.031	0.926	0.043	6702.482	0.000	0.312	3.018	0.417	66880.895	0.000	0.439	1.477	0.233	94051.524			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	2		812	14	#N/A	#N/A	928	0.06 %	0.67	28.09	40.06	1.43	0.332	0.989	2.090	0.502	917.450	0.000	0.215	0.882	0.131	199.808	0.000	0.314	0.927	0.201	291.626	0.341	1.797	4.691	0.686	1667.446	0.000	0.461	1.565	0.310	428.205	0.000	0.021	0.138	0.025	19.582	0.005	0.103	0.581	0.074	95.602	0.000	0.304	0.693	0.212	282.237			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	3		888	36	#N/A	#N/A	2960	0.20 %	0.39	72.00	72.01	1.00	0.299	1.076	3.012	0.646	3185.913	0.000	0.172	0.653	0.089	509.956	0.000	0.451	3.118	0.388	1333.542	0.191	2.142	8.725	1.056	6339.323	0.000	0.479	2.255	0.353	1418.115	0.000	0.019	0.175	0.026	55.269	0.000	0.245	1.589	0.298	725.007	0.000	0.336	0.801	0.213	993.951			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	4		794	78	#N/A	#N/A	1664	0.11 %	0.38	37.37	66.60	1.78	0.298	0.880	3.051	0.586	1463.814	0.000	0.216	0.813	0.094	360.056	0.000	0.302	1.190	0.211	502.264	0.340	1.964	5.365	0.862	3268.295	0.000	0.464	1.902	0.331	772.792	0.000	0.021	0.167	0.026	35.394	0.007	0.190	1.785	0.282	316.159	0.000	0.405	0.767	0.201	674.708			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	5		1188	302	#N/A	#N/A	16048	1.11 %	0.13	161.05	245.63	1.53	0.234	0.976	3.377	0.666	15666.125	0.000	0.163	0.839	0.090	2609.601	0.000	0.351	3.518	0.327	5627.890	0.000	1.915	14.375	1.392	30731.807	0.000	0.505	4.551	0.382	8109.507	0.000	0.023	0.189	0.029	367.062	0.000	0.210	1.372	0.245	3377.138	0.000	0.481	0.968	0.241	7722.208			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	6		988	510	#N/A	#N/A	20624	1.42 %	0.16	142.88	287.99	2.02	0.243	0.975	3.365	0.648	20117.972	0.000	0.232	1.416	0.141	4782.435	0.000	0.557	10.892	0.834	11478.236	0.000	2.759	25.805	2.618	56905.917	0.000	0.826	31.994	1.505	17033.572	0.000	0.034	0.600	0.043	711.497	0.000	0.276	2.588	0.379	5683.482	0.000	0.506	1.385	0.239	10432.433			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	7		1138	450	#N/A	#N/A	1200	0.08 %	0.62	36.01	44.07	1.22	0.201	1.022	2.626	0.684	1225.813	0.000	0.180	0.830	0.099	215.737	0.000	0.410	1.541	0.303	491.856	0.192	1.997	6.432	1.109	2396.511	0.000	0.491	2.047	0.325	588.839	0.000	0.024	0.157	0.029	29.238	0.002	0.255	1.549	0.315	306.410	0.000	0.472	0.917	0.254	566.308			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	8		1302	492	#N/A	#N/A	752	0.05 %	0.54	30.76	36.37	1.18	0.300	0.936	2.977	0.719	703.521	0.000	0.127	0.739	0.112	95.797	0.000	0.823	2.816	0.653	618.925	0.468	6.511	27.324	6.710	4896.613	0.000	0.552	3.892	0.598	415.142	0.000	0.025	0.141	0.030	18.757	0.000	0.110	0.415	0.093	82.910	0.000	0.552	1.020	0.244	415.080			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	9		468	514	#N/A	#N/A	1056	0.07 %	0.49	31.90	51.61	1.62	0.208	0.721	3.536	0.566	761.825	0.000	0.292	1.210	0.181	308.002	0.000	0.807	3.165	0.516	852.317	1.311	8.755	29.309	5.596	9245.175	0.000	1.348	13.394	2.106	1423.482	0.000	0.049	0.465	0.069	52.261	0.000	0.198	1.344	0.276	208.818	0.000	0.618	1.248	0.236	652.508			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	10		1234	504	#N/A	#N/A	832	0.06 %	0.60	32.10	36.05	1.12	0.293	0.979	2.889	0.711	814.536	0.000	0.137	0.550	0.095	113.820	0.000	0.561	2.225	0.416	466.986	0.421	2.849	20.160	2.146	2370.676	0.000	0.421	2.258	0.398	350.313	0.000	0.025	0.197	0.031	21.034	0.000	0.221	1.214	0.267	183.460	0.000	0.467	0.974	0.242	388.515			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	11		1180	542	#N/A	#N/A	1232	0.09 %	0.58	40.02	44.07	1.10	0.319	0.924	2.671	0.656	1138.950	0.000	0.182	0.867	0.128	224.139	0.000	0.432	2.962	0.392	532.342	0.285	3.039	20.088	2.876	3743.616	0.000	0.458	3.145	0.414	564.275	0.000	0.025	0.208	0.032	30.844	0.001	0.326	1.807	0.428	401.202	0.000	0.511	0.893	0.203	629.456			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	12		1144	576	#N/A	#N/A	784	0.05 %	0.64	32.03	32.04	1.00	0.312	0.995	2.823	0.689	780.338	0.000	0.153	0.602	0.122	119.941	0.000	0.858	2.887	0.542	672.957	0.449	6.124	31.068	5.866	4800.969	0.000	0.437	4.080	0.496	342.601	0.000	0.025	0.157	0.030	19.907	0.000	0.165	1.055	0.212	129.379	0.000	0.488	1.199	0.287	382.406			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	13		1106	812	#N/A	#N/A	135968	9.39 %	0.05	456.03	534.54	1.17	0.194	1.044	3.992	0.720	141890.399	0.000	0.254	2.865	0.166	34546.414	0.000	0.508	9.643	0.512	69127.757	0.000	2.908	31.613	2.851	395460.558	0.000	0.674	34.033	0.777	91591.171	0.000	0.025	0.674	0.035	3437.217	0.000	0.340	2.847	0.432	46224.318	0.000	0.536	1.395	0.256	72811.849			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	14		1366	686	#N/A	#N/A	2784	0.19 %	0.41	52.06	84.06	1.61	0.280	0.985	3.607	0.779	2742.128	0.000	0.169	0.810	0.091	469.597	0.000	0.321	1.530	0.263	894.231	0.072	1.845	7.302	1.001	5136.223	0.000	0.526	2.391	0.320	1465.088	0.000	0.022	0.178	0.028	61.676	0.000	0.145	0.717	0.147	404.378	0.000	0.545	1.028	0.277	1516.754			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	15		1258	924	#N/A	#N/A	1232	0.09 %	0.58	39.22	44.92	1.15	0.320	1.251	3.401	0.853	1540.769	0.000	0.153	0.589	0.099	187.932	0.000	0.554	3.214	0.497	683.090	0.234	3.733	19.828	3.506	4599.417	0.000	0.714	3.083	0.531	879.365	0.000	0.020	0.160	0.029	24.450	0.000	0.367	2.012	0.513	451.749	0.000	0.537	1.194	0.271	661.758			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Tumor	16		1322	1006	#N/A	#N/A	5328	0.37 %	0.32	61.61	144.79	2.35	0.354	1.077	3.106	0.684	5736.771	0.000	0.191	0.716	0.098	1017.057	0.000	0.488	2.332	0.357	2600.222	0.000	2.567	16.536	1.836	13674.366	0.000	0.646	5.185	0.429	3443.909	0.000	0.023	0.165	0.031	121.373	0.000	0.290	2.046	0.353	1542.975	0.000	0.674	1.226	0.247	3592.450			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	17		696	520	#N/A	#N/A	938688	64.84 %	0.06	1046.23	1395.59	1.33	0.123	0.531	4.707	0.511	498539.831	0.000	0.203	9.626	0.367	190698.398	0.000	0.462	14.124	0.538	433775.344	0.000	4.712	42.976	5.322	4423335.075	0.000	0.710	40.067	1.486	666695.129	0.000	0.042	4.120	0.110	39210.196	0.000	0.049	1.080	0.029	45958.773	0.000	0.596	2.226	0.201	559474.185			0	0	0	0	
