Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	18		754	62	#N/A	#N/A	26016	1.80 %	0.10	125.17	404.13	3.23	0.262	0.796	3.981	0.573	20710.078	0.000	0.182	1.577	0.118	4730.885	0.000	0.417	7.103	0.528	10857.813	0.000	3.163	33.968	3.716	82297.621	0.000	0.556	14.954	0.634	14456.352	0.000	0.023	0.607	0.032	608.174	0.000	0.058	0.197	0.024	1514.726	0.000	0.433	1.200	0.230	11254.377			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	19		824	218	#N/A	#N/A	20960	1.45 %	0.05	215.35	331.69	1.54	0.247	0.592	3.075	0.437	12402.551	0.000	0.184	2.463	0.125	3856.495	0.000	0.324	3.188	0.379	6797.209	0.000	2.965	29.452	3.860	62150.628	0.000	0.425	5.585	0.468	8912.535	0.000	0.024	0.294	0.027	501.731	0.000	0.061	0.181	0.022	1282.422	0.000	0.523	1.144	0.187	10965.411			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	20		602	148	#N/A	#N/A	1856	0.13 %	0.45	42.66	67.33	1.58	0.248	0.617	2.522	0.432	1145.229	0.000	0.275	1.943	0.171	510.223	0.000	0.285	1.603	0.257	529.604	0.411	3.010	24.760	3.049	5585.752	0.000	0.789	6.798	0.896	1463.702	0.000	0.029	0.314	0.035	53.165	0.000	0.068	0.175	0.023	126.047	0.000	0.478	0.970	0.188	886.560			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	21		674	248	#N/A	#N/A	1984	0.14 %	0.21	38.67	119.67	3.09	0.276	0.918	3.183	0.648	1820.870	0.000	0.284	1.017	0.148	563.511	0.000	0.455	2.410	0.359	903.240	0.391	4.035	25.918	4.063	8006.116	0.000	1.065	10.866	1.229	2112.870	0.000	0.048	0.487	0.055	94.653	0.000	0.079	0.184	0.028	156.715	0.000	0.441	1.090	0.262	874.520			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	22		922	326	#N/A	#N/A	1728	0.12 %	0.39	42.86	62.23	1.45	0.307	0.756	3.166	0.711	1307.144	0.000	0.180	0.744	0.089	311.756	0.000	0.216	1.341	0.198	373.033	0.000	1.509	7.896	0.951	2608.067	0.000	0.397	1.995	0.320	686.169	0.000	0.025	0.121	0.026	42.618	0.000	0.066	0.150	0.021	113.303	0.000	0.500	0.865	0.235	863.475			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	23		810	362	#N/A	#N/A	3824	0.26 %	0.21	76.30	124.05	1.63	0.260	0.619	2.746	0.459	2368.846	0.000	0.174	1.174	0.139	665.724	0.000	0.380	3.423	0.446	1454.588	0.000	3.471	29.812	3.947	13274.850	0.000	0.572	9.356	0.775	2185.561	0.000	0.026	0.231	0.030	98.391	0.000	0.062	0.185	0.025	238.606	0.000	0.569	1.168	0.198	2175.588			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	24		666	444	#N/A	#N/A	1568	0.11 %	0.27	29.07	89.98	3.09	0.319	1.143	3.524	0.706	1792.205	0.000	0.267	0.748	0.121	418.790	0.000	0.886	7.450	1.045	1389.333	0.000	3.212	18.788	2.140	5036.523	0.000	2.832	29.451	4.616	4441.337	0.000	0.067	0.635	0.084	104.528	0.000	0.097	0.380	0.044	152.784	0.000	0.416	1.076	0.259	652.289			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	25		1078	724	#N/A	#N/A	2688	0.19 %	0.28	57.63	90.25	1.57	0.301	0.603	2.055	0.396	1622.043	0.000	0.214	0.897	0.118	575.134	0.000	0.331	2.132	0.284	889.315	0.128	2.458	22.121	2.118	6607.399	0.000	0.416	2.308	0.370	1118.580	0.000	0.026	0.149	0.028	70.915	0.000	0.065	0.247	0.024	174.149	0.000	0.607	0.997	0.171	1632.832			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	26		972	708	#N/A	#N/A	1328	0.09 %	0.34	27.66	75.34	2.72	0.218	0.581	2.766	0.461	772.171	0.000	0.772	6.594	1.102	1024.996	0.000	0.405	3.639	0.468	537.345	0.123	3.490	18.937	3.181	4634.343	0.000	0.577	3.154	0.496	765.842	0.000	0.026	0.201	0.029	34.232	0.000	0.071	0.175	0.023	94.688	0.000	0.699	1.198	0.219	928.448			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	27		1256	908	#N/A	#N/A	26672	1.84 %	0.12	264.76	271.80	1.03	0.187	0.701	4.231	0.623	18694.104	0.000	0.132	1.081	0.099	3510.368	0.000	0.409	3.883	0.427	10918.102	0.000	3.659	36.918	4.461	97602.434	0.000	0.577	8.252	0.587	15378.441	0.000	0.022	0.317	0.029	594.081	0.000	0.054	0.647	0.032	1434.771	0.000	0.697	1.636	0.234	18589.808			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	28		1042	850	#N/A	#N/A	2032	0.14 %	0.23	50.12	77.86	1.55	0.212	0.531	3.031	0.483	1078.327	0.000	0.275	1.342	0.180	558.962	0.000	0.330	2.408	0.351	670.402	0.033	3.290	20.776	2.965	6685.719	0.000	1.242	18.656	2.188	2524.684	0.000	0.028	0.315	0.038	56.865	0.000	0.075	0.199	0.025	152.065	0.000	0.730	1.321	0.198	1483.943			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	29		1190	874	#N/A	#N/A	4272	0.30 %	0.26	64.93	124.87	1.92	0.178	0.370	2.568	0.245	1578.997	0.000	0.180	2.455	0.148	770.407	0.000	0.328	2.577	0.415	1400.662	0.000	3.598	23.443	3.877	15370.962	0.000	0.488	3.004	0.437	2085.965	0.000	0.019	0.132	0.024	79.473	0.000	0.058	0.139	0.023	245.850	0.000	0.782	1.158	0.134	3339.755			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	30		940	922	#N/A	#N/A	1344	0.09 %	0.20	39.99	76.06	1.90	0.218	1.266	4.143	1.085	1701.700	0.000	0.338	1.267	0.190	454.740	0.000	0.469	1.861	0.335	630.589	0.000	2.834	13.596	2.374	3808.455	0.000	0.936	11.756	1.021	1257.884	0.000	0.041	0.306	0.048	54.563	0.005	0.088	0.292	0.036	117.610	0.000	0.468	0.968	0.328	629.024			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	31		1082	940	#N/A	#N/A	1648	0.11 %	0.40	46.23	64.07	1.39	0.210	0.511	3.595	0.510	842.839	0.000	0.311	2.421	0.311	512.466	0.000	0.367	2.603	0.431	604.510	0.129	3.456	19.633	3.340	5695.956	0.000	0.570	2.918	0.448	939.233	0.000	0.018	0.112	0.024	29.792	0.000	0.067	0.173	0.025	111.169	0.000	0.742	1.197	0.198	1222.480			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	32		1074	1010	#N/A	#N/A	976	0.07 %	0.32	30.63	65.53	2.14	0.307	0.833	2.542	0.571	812.549	0.000	0.338	2.095	0.206	329.814	0.000	0.454	2.384	0.368	442.798	0.000	2.537	15.346	2.782	2476.101	0.000	0.583	2.446	0.408	568.980	0.000	0.022	0.129	0.026	21.845	0.000	0.069	0.143	0.024	67.266	0.000	0.577	1.020	0.233	562.841			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	33		1372	1016	#N/A	#N/A	1456	0.10 %	0.62	40.09	48.12	1.20	0.332	1.142	3.075	0.654	1663.102	0.000	0.175	0.559	0.084	255.085	0.000	0.413	1.766	0.274	600.781	0.000	1.672	6.046	0.892	2434.362	0.000	0.544	1.526	0.290	791.403	0.000	0.021	0.140	0.026	30.880	0.000	0.075	0.692	0.076	109.356	0.000	0.604	1.216	0.282	879.087			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_2.im3	Stroma	34		976	1024	#N/A	#N/A	832	0.06 %	0.35	32.03	48.07	1.50	0.198	0.860	2.581	0.637	715.259	0.000	0.220	0.828	0.156	183.089	0.000	0.626	2.472	0.473	520.600	0.116	4.409	19.272	3.617	3668.286	0.000	0.630	2.693	0.548	524.403	0.000	0.022	0.151	0.027	18.457	0.000	0.080	0.245	0.037	66.224	0.000	0.595	1.168	0.260	494.921			0	0	0	0	
