Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	24		1082	188	#N/A	#N/A	816	0.06 %	0.59	32.05	36.11	1.13	0.601	1.997	5.883	1.253	1629.536	0.000	0.177	1.539	0.165	144.571	0.130	1.136	3.046	0.526	926.794	0.956	14.317	44.879	12.779	11683.070	0.000	1.799	7.161	1.525	1468.066	0.000	0.027	0.388	0.053	22.177	0.000	0.101	0.300	0.056	82.571	0.000	0.728	2.223	0.562	593.831			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	25		454	242	#N/A	#N/A	1600	0.11 %	0.36	45.15	59.09	1.31	0.714	1.784	4.852	1.122	2853.703	0.000	0.232	1.030	0.117	370.684	0.000	0.637	3.409	0.465	1019.082	0.420	4.481	39.683	5.943	7170.013	0.000	0.596	6.727	0.712	952.926	0.000	0.037	0.395	0.043	59.314	0.000	0.106	0.295	0.043	169.251	0.000	0.339	1.441	0.268	541.610			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	26		990	256	#N/A	#N/A	3120	0.22 %	0.26	43.70	126.58	2.90	0.659	1.117	7.174	0.743	3486.141	0.000	0.574	7.802	0.972	1789.822	0.000	0.640	6.525	0.687	1996.431	0.146	5.751	49.218	8.042	17942.025	0.000	0.564	8.180	0.842	1759.818	0.000	0.027	0.220	0.033	84.288	0.000	0.072	0.277	0.037	223.521	0.000	0.672	2.522	0.275	2096.166			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	27		1344	246	#N/A	#N/A	2512	0.17 %	0.29	50.63	98.58	1.95	0.740	1.727	9.076	1.462	4338.183	0.000	0.243	3.151	0.328	610.026	0.000	1.039	3.803	0.631	2610.739	1.024	11.736	39.934	8.872	29479.827	0.000	1.209	5.997	1.271	3036.747	0.000	0.033	0.331	0.050	82.603	0.000	0.085	0.296	0.051	213.731	0.000	0.672	1.760	0.397	1688.243			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	28		310	268	#N/A	#N/A	1104	0.08 %	0.36	32.11	60.14	1.87	0.642	1.883	4.440	1.116	2078.858	0.000	0.293	0.995	0.125	323.364	0.000	0.752	2.524	0.384	830.693	0.717	5.373	22.980	3.767	5932.192	0.000	0.711	4.513	0.699	784.515	0.000	0.035	0.290	0.043	38.924	0.000	0.108	0.358	0.051	119.199	0.000	0.345	1.174	0.294	381.014			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	29		1160	308	#N/A	#N/A	3184	0.22 %	0.38	50.39	103.49	2.05	0.488	1.113	5.034	0.813	3544.318	0.000	0.470	4.116	0.681	1495.974	0.000	0.516	4.514	0.470	1642.629	0.195	4.592	37.214	5.577	14619.660	0.000	0.482	7.641	0.619	1535.248	0.000	0.033	0.793	0.063	105.429	0.000	0.088	0.375	0.048	278.867	0.000	0.564	1.760	0.294	1797.014			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	30		1364	306	#N/A	#N/A	1168	0.08 %	0.33	32.17	72.99	2.27	0.838	1.127	4.907	0.480	1316.319	0.000	0.264	0.794	0.115	308.400	0.000	0.440	2.424	0.288	513.382	0.444	2.219	26.178	2.513	2591.226	0.000	0.565	4.093	0.390	660.009	0.000	0.029	0.219	0.036	33.991	0.000	0.104	0.211	0.034	121.379	0.000	0.537	1.096	0.161	626.894			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	31		792	312	#N/A	#N/A	848	0.06 %	0.22	32.45	68.40	2.11	0.592	1.138	3.167	0.699	964.730	0.000	0.196	0.943	0.109	166.139	0.000	0.269	1.261	0.188	227.961	0.000	1.152	3.155	0.481	977.314	0.000	0.319	1.641	0.253	270.212	0.000	0.024	0.146	0.029	20.299	0.000	0.090	0.251	0.029	76.081	0.000	0.408	0.812	0.244	345.769			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	32		906	312	#N/A	#N/A	880	0.06 %	0.50	27.58	44.01	1.60	0.810	3.139	6.314	1.617	2761.965	0.000	0.424	1.411	0.199	373.371	0.000	1.017	2.907	0.642	895.084	0.000	1.814	13.546	1.260	1596.493	0.000	0.687	3.202	0.444	604.679	0.000	0.033	0.176	0.041	29.092	0.042	0.182	0.339	0.049	160.330	0.000	0.147	0.791	0.215	129.493			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	33		810	448	#N/A	#N/A	3120	0.22 %	0.13	57.66	125.78	2.18	0.583	1.872	6.591	1.447	5840.798	0.012	0.281	1.087	0.138	878.008	0.000	0.474	3.249	0.332	1480.427	0.490	1.906	7.603	0.804	5947.840	0.000	0.552	3.925	0.435	1722.924	0.000	0.104	2.022	0.218	323.119	0.000	0.134	0.514	0.064	417.211	0.000	0.397	1.075	0.282	1239.128			0	0	0	0	
