Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-04-06 D_1.im3	Tumor	1		118	200	#N/A	#N/A	6560	0.45 %	0.21	86.04	147.13	1.71	0.169	0.614	2.798	0.520	4028.276	0.000	0.219	2.550	0.239	1436.280	0.000	0.951	4.258	0.627	6238.491	0.392	11.625	40.945	7.841	76260.303	0.000	1.395	10.186	1.417	9151.991	0.000	0.042	0.476	0.060	275.980	0.000	0.182	2.610	0.330	1194.263	0.000	0.635	1.458	0.230	4167.236			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_1.im3	Tumor	2		378	240	#N/A	#N/A	2576	0.18 %	0.27	62.46	81.92	1.31	0.184	0.589	2.815	0.503	1517.711	0.000	0.153	1.817	0.236	393.086	0.000	0.931	3.091	0.458	2399.468	1.297	11.606	37.737	6.579	29898.270	0.000	0.902	5.439	0.948	2323.530	0.000	0.039	0.422	0.052	101.663	0.000	0.184	1.289	0.262	474.570	0.000	0.616	1.184	0.212	1587.920			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_1.im3	Tumor	3		212	278	#N/A	#N/A	1600	0.11 %	0.45	35.44	64.10	1.81	0.175	0.698	2.497	0.570	1116.497	0.000	0.590	7.883	0.923	944.185	0.000	1.370	6.059	1.111	2191.323	1.103	14.725	49.951	10.889	23560.506	0.000	1.405	15.567	1.768	2247.564	0.000	0.050	1.112	0.082	79.297	0.000	0.140	1.236	0.177	223.553	0.000	0.676	1.776	0.277	1082.000			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_1.im3	Tumor	4		52	284	#N/A	#N/A	928	0.06 %	0.59	32.15	39.99	1.24	0.198	0.653	2.762	0.557	606.402	0.000	0.117	0.662	0.129	108.204	0.000	0.957	3.593	0.735	888.397	0.490	12.578	44.162	9.030	11672.715	0.000	1.448	8.366	1.695	1343.843	0.000	0.045	0.322	0.062	41.573	0.000	0.099	0.799	0.137	91.621	0.000	0.669	1.616	0.260	621.079			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_1.im3	Tumor	5		874	326	#N/A	#N/A	1984	0.14 %	0.37	37.62	79.73	2.12	0.207	0.717	2.446	0.492	1422.455	0.000	0.491	6.800	0.874	974.023	0.000	1.054	3.534	0.574	2091.617	0.990	11.690	31.834	6.641	23193.323	0.000	1.106	13.774	1.308	2193.877	0.000	0.050	0.592	0.065	99.307	0.000	0.180	1.561	0.253	356.608	0.000	0.656	1.359	0.208	1302.242			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_1.im3	Tumor	6		1016	306	#N/A	#N/A	784	0.05 %	0.57	28.02	40.10	1.43	0.225	0.641	2.020	0.448	502.546	0.000	0.153	1.297	0.186	120.314	0.000	0.952	4.151	0.663	746.714	1.103	10.780	42.003	8.217	8451.796	0.000	0.887	6.302	1.124	695.329	0.000	0.032	0.204	0.041	25.039	0.000	0.133	0.832	0.167	104.088	0.000	0.620	1.212	0.205	486.433			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_1.im3	Tumor	7		936	356	#N/A	#N/A	1344	0.09 %	0.30	31.99	72.08	2.25	0.192	0.552	2.554	0.436	742.333	0.000	0.407	3.019	0.482	546.910	0.000	1.211	4.146	0.753	1627.379	1.960	13.595	35.310	8.072	18271.432	0.000	1.092	7.789	1.257	1467.419	0.000	0.040	0.324	0.050	53.111	0.000	0.099	0.571	0.102	132.431	0.000	0.699	1.243	0.213	939.195			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_1.im3	Tumor	8		810	376	#N/A	#N/A	3040	0.21 %	0.24	46.42	117.23	2.53	0.176	0.633	2.605	0.538	1924.666	0.000	0.145	1.690	0.205	441.470	0.000	0.939	3.324	0.635	2855.083	0.554	11.224	37.031	8.223	34122.285	0.000	1.038	16.866	1.434	3155.646	0.000	0.056	0.702	0.087	169.559	0.000	0.162	1.881	0.247	491.146	0.000	0.677	1.283	0.242	2057.590			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_1.im3	Tumor	9		984	404	#N/A	#N/A	1328	0.09 %	0.30	30.12	71.21	2.36	0.248	0.779	3.150	0.625	1034.421	0.000	0.136	1.070	0.144	180.352	0.000	0.774	3.753	0.612	1027.715	0.711	8.502	35.787	7.462	11290.273	0.000	1.304	22.081	1.901	1731.486	0.000	0.047	1.153	0.095	62.132	0.000	0.139	1.333	0.197	184.540	0.000	0.614	1.346	0.261	815.892			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_1.im3	Tumor	10		666	412	#N/A	#N/A	864	0.06 %	0.50	27.94	44.91	1.61	0.256	0.548	2.170	0.381	473.480	0.000	0.224	1.295	0.177	193.802	0.000	0.535	2.659	0.463	461.886	0.524	4.379	26.458	4.130	3783.034	0.000	0.697	4.048	0.670	602.405	0.000	0.044	0.314	0.050	38.379	0.000	0.176	1.651	0.268	152.141	0.099	0.805	1.237	0.172	695.454			0	0	0	0	
