"Path"	"Sample_Name"	"Tissue_Category"	"Region_ID"	"Total_Regions"	"Region_X_Position"	"Region_Y_Position"	"Process_Region_ID"	"Distance_from_Process_Region_Edge_pixels"	"Region_Area_pixels"	"Region_Area_percent"	"Region_Compactness"	"Region_Minor_Axis"	"Region_Major_Axis"	"Region_Axis_Ratio"	"DAPI_Min_Normalized_Counts_Total_Weighting"	"DAPI_Mean_Normalized_Counts_Total_Weighting"	"DAPI_Max_Normalized_Counts_Total_Weighting"	"DAPI_Std_Dev_Normalized_Counts_Total_Weighting"	"DAPI_Total_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Min_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Mean_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Max_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Std_Dev_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Total_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Min_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Mean_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Max_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Std_Dev_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Total_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Min_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Mean_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Max_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Std_Dev_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Total_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Min_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Mean_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Max_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Std_Dev_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Total_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Min_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Mean_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Max_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Std_Dev_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Total_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Min_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Mean_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Max_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Std_Dev_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Total_Normalized_Counts_Total_Weighting"	"Autofluorescence_Min_Normalized_Counts_Total_Weighting"	"Autofluorescence_Mean_Normalized_Counts_Total_Weighting"	"Autofluorescence_Max_Normalized_Counts_Total_Weighting"	"Autofluorescence_Std_Dev_Normalized_Counts_Total_Weighting"	"Autofluorescence_Total_Normalized_Counts_Total_Weighting"	"Lab_ID"	"Slide_ID"	"TMA_Sector"	"TMA_Row"	"TMA_Column"	"TMA_Field"	"inForm_2_2_5800_23313"
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_2.im3"	"Tumor"	1	NA	150	102	"#N/A"	"#N/A"	15904	"1.10 %"	0.11	98.52	358.76	3.64	0.268	1.425	6.133	1.06	22669.452	0	0.408	2.87	0.294	6486.97	0	0.704	3.66	0.481	11189.7	0.45	7.135	60.13	7.804	113478.83	0	0.974	12.973	1.079	15484.977	0	0.036	1.704	0.06	572.996	0	0.261	1.949	0.267	4147.161	0	0.557	2.706	0.383	8854.047	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_2.im3"	"Tumor"	2	NA	752	408	"#N/A"	"#N/A"	598432	"41.34 %"	0.03	792.41	1298.47	1.64	0.256	1.904	9.132	1.217	1139372.179	0	0.311	7.084	0.233	186192.889	0	0.684	10.801	0.514	409337.468	0	4.581	59.182	5.874	2741682.174	0	0.777	38.508	0.98	464903.717	0	0.039	3.913	0.068	23322.23	0	0.328	2.53	0.293	196568.407	0	0.405	3.554	0.339	242375.138	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_2.im3"	"Tumor"	3	NA	1300	534	"#N/A"	"#N/A"	4304	"0.30 %"	0.18	76.06	136.12	1.79	0.443	1.766	6.891	1.285	7601.364	0	0.257	1.546	0.199	1106.755	0	1.12	3.574	0.532	4821.8	0.776	12.432	43.921	8.7	53508.899	0	1.199	8.051	1.103	5158.874	0	0.049	0.438	0.062	212.516	0	0.249	1.1	0.209	1071.256	0	0.719	2.255	0.486	3095.181	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_2.im3"	"Tumor"	4	NA	1244	676	"#N/A"	"#N/A"	28656	"1.98 %"	0.11	165.71	296.88	1.79	0.272	2.018	7.145	1.265	57825.176	0	0.227	2.903	0.202	6514.807	0	1.615	4.929	0.776	46293.338	0.668	18.035	61.774	11.207	516802.551	0	1.573	10.325	1.581	45063.767	0	0.064	0.607	0.082	1819.914	0	0.358	2.757	0.323	10266.6	0	0.801	2.894	0.515	22940.906	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_2.im3"	"Tumor"	5	NA	968	832	"#N/A"	"#N/A"	137824	"9.52 %"	0.05	416.95	631.94	1.52	0.284	2.362	8.382	1.451	325554.544	0	0.244	8.506	0.206	33585.499	0	1.104	6.049	0.606	152133.587	0	8.577	65.089	7.839	1182086.922	0	0.875	24.994	0.953	120621.842	0	0.045	2.111	0.064	6264.076	0	0.321	2.361	0.254	44279.806	0	0.476	3.381	0.44	65583.178	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_2.im3"	"Tumor"	6	NA	1350	796	"#N/A"	"#N/A"	2944	"0.20 %"	0.24	84.36	88.02	1.04	0.838	1.733	4.768	1.006	5102.87	0	0.22	1.004	0.157	646.968	0	1.023	3.359	0.52	3010.853	0	8.751	39.561	6.088	25761.648	0	0.794	9.158	1.015	2337.579	0	0.037	0.507	0.053	108.907	0	0.264	1.257	0.237	777.945	0	0.57	1.968	0.362	1677.327	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_2.im3"	"Tumor"	7	NA	92	866	"#N/A"	"#N/A"	9696	"0.67 %"	0.15	116.35	201.78	1.73	0.232	1.482	5.752	0.961	14374.02	0	0.597	2.202	0.315	5791.288	0	1.601	5.459	0.685	15518.908	0.819	17.053	57.424	8.849	165344.059	0	2.134	15.757	1.842	20692.067	0	0.174	1.165	0.161	1683.413	0	0.389	2.275	0.326	3775.458	0	0.968	3.417	0.517	9381.943	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_2.im3"	"Tumor"	8	NA	486	878	"#N/A"	"#N/A"	5216	"0.36 %"	0.25	75.52	134.13	1.78	0.355	1.68	6.263	1.218	8763.806	0	0.433	3.942	0.445	2259.076	0	1.693	4.46	0.662	8831.064	1.339	19.331	46.222	8.706	100827.985	0	1.657	11.469	1.679	8641.104	0	0.119	0.902	0.121	619.586	0	0.367	2.139	0.338	1916.836	0	0.951	3.073	0.536	4960.227	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_2.im3"	"Tumor"	9	NA	60	914	"#N/A"	"#N/A"	1008	"0.07 %"	0.3	42.53	49.24	1.16	0.427	1.057	3.687	0.565	1065.756	0	0.674	4.361	0.616	679.169	0	1.59	4.472	0.802	1602.485	2.501	20.212	46.092	9.925	20373.26	0	3.09	13.797	2.863	3114.728	0	0.21	1.009	0.169	211.209	0	0.186	0.514	0.093	187.444	0.032	1.226	3.26	0.564	1236.045	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_2.im3"	"Tumor"	10	NA	326	970	"#N/A"	"#N/A"	27040	"1.87 %"	0.12	141.31	395.76	2.8	0.372	1.595	6.717	0.935	43142.21	0	0.355	3.79	0.252	9591.263	0	1.077	5.557	0.53	29128.137	0	9.107	45.965	6.029	246243.301	0	1.109	45.055	2.039	29986.15	0	0.065	2.882	0.136	1768.149	0	0.317	1.933	0.285	8564.951	0	0.634	3.421	0.355	17147.648	NA	NA	0	0	0	0	NA
