"Path"	"Sample_Name"	"Tissue_Category"	"Region_ID"	"Total_Regions"	"Region_X_Position"	"Region_Y_Position"	"Process_Region_ID"	"Distance_from_Process_Region_Edge_pixels"	"Region_Area_pixels"	"Region_Area_percent"	"Region_Compactness"	"Region_Minor_Axis"	"Region_Major_Axis"	"Region_Axis_Ratio"	"DAPI_Min_Normalized_Counts_Total_Weighting"	"DAPI_Mean_Normalized_Counts_Total_Weighting"	"DAPI_Max_Normalized_Counts_Total_Weighting"	"DAPI_Std_Dev_Normalized_Counts_Total_Weighting"	"DAPI_Total_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Min_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Mean_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Max_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Std_Dev_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Total_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Min_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Mean_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Max_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Std_Dev_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Total_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Min_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Mean_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Max_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Std_Dev_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Total_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Min_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Mean_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Max_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Std_Dev_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Total_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Min_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Mean_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Max_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Std_Dev_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Total_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Min_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Mean_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Max_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Std_Dev_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Total_Normalized_Counts_Total_Weighting"	"Autofluorescence_Min_Normalized_Counts_Total_Weighting"	"Autofluorescence_Mean_Normalized_Counts_Total_Weighting"	"Autofluorescence_Max_Normalized_Counts_Total_Weighting"	"Autofluorescence_Std_Dev_Normalized_Counts_Total_Weighting"	"Autofluorescence_Total_Normalized_Counts_Total_Weighting"	"Lab_ID"	"Slide_ID"	"TMA_Sector"	"TMA_Row"	"TMA_Column"	"TMA_Field"	"inForm_2_2_5800_23313"
"E:\Original MANTRA official all pics"	"cu-04-06 D_1.im3"	"Tumor"	1	NA	118	200	"#N/A"	"#N/A"	6560	"0.45 %"	0.21	86.04	147.13	1.71	0.169	0.614	2.798	0.52	4028.276	0	0.219	2.55	0.239	1436.28	0	0.951	4.258	0.627	6238.491	0.392	11.625	40.945	7.841	76260.303	0	1.395	10.186	1.417	9151.991	0	0.042	0.476	0.06	275.98	0	0.182	2.61	0.33	1194.263	0	0.635	1.458	0.23	4167.236	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_1.im3"	"Tumor"	2	NA	378	240	"#N/A"	"#N/A"	2576	"0.18 %"	0.27	62.46	81.92	1.31	0.184	0.589	2.815	0.503	1517.711	0	0.153	1.817	0.236	393.086	0	0.931	3.091	0.458	2399.468	1.297	11.606	37.737	6.579	29898.27	0	0.902	5.439	0.948	2323.53	0	0.039	0.422	0.052	101.663	0	0.184	1.289	0.262	474.57	0	0.616	1.184	0.212	1587.92	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_1.im3"	"Tumor"	3	NA	212	278	"#N/A"	"#N/A"	1600	"0.11 %"	0.45	35.44	64.1	1.81	0.175	0.698	2.497	0.57	1116.497	0	0.59	7.883	0.923	944.185	0	1.37	6.059	1.111	2191.323	1.103	14.725	49.951	10.889	23560.506	0	1.405	15.567	1.768	2247.564	0	0.05	1.112	0.082	79.297	0	0.14	1.236	0.177	223.553	0	0.676	1.776	0.277	1082	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_1.im3"	"Tumor"	4	NA	52	284	"#N/A"	"#N/A"	928	"0.06 %"	0.59	32.15	39.99	1.24	0.198	0.653	2.762	0.557	606.402	0	0.117	0.662	0.129	108.204	0	0.957	3.593	0.735	888.397	0.49	12.578	44.162	9.03	11672.715	0	1.448	8.366	1.695	1343.843	0	0.045	0.322	0.062	41.573	0	0.099	0.799	0.137	91.621	0	0.669	1.616	0.26	621.079	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_1.im3"	"Tumor"	5	NA	874	326	"#N/A"	"#N/A"	1984	"0.14 %"	0.37	37.62	79.73	2.12	0.207	0.717	2.446	0.492	1422.455	0	0.491	6.8	0.874	974.023	0	1.054	3.534	0.574	2091.617	0.99	11.69	31.834	6.641	23193.323	0	1.106	13.774	1.308	2193.877	0	0.05	0.592	0.065	99.307	0	0.18	1.561	0.253	356.608	0	0.656	1.359	0.208	1302.242	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_1.im3"	"Tumor"	6	NA	1016	306	"#N/A"	"#N/A"	784	"0.05 %"	0.57	28.02	40.1	1.43	0.225	0.641	2.02	0.448	502.546	0	0.153	1.297	0.186	120.314	0	0.952	4.151	0.663	746.714	1.103	10.78	42.003	8.217	8451.796	0	0.887	6.302	1.124	695.329	0	0.032	0.204	0.041	25.039	0	0.133	0.832	0.167	104.088	0	0.62	1.212	0.205	486.433	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_1.im3"	"Tumor"	7	NA	936	356	"#N/A"	"#N/A"	1344	"0.09 %"	0.3	31.99	72.08	2.25	0.192	0.552	2.554	0.436	742.333	0	0.407	3.019	0.482	546.91	0	1.211	4.146	0.753	1627.379	1.96	13.595	35.31	8.072	18271.432	0	1.092	7.789	1.257	1467.419	0	0.04	0.324	0.05	53.111	0	0.099	0.571	0.102	132.431	0	0.699	1.243	0.213	939.195	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_1.im3"	"Tumor"	8	NA	810	376	"#N/A"	"#N/A"	3040	"0.21 %"	0.24	46.42	117.23	2.53	0.176	0.633	2.605	0.538	1924.666	0	0.145	1.69	0.205	441.47	0	0.939	3.324	0.635	2855.083	0.554	11.224	37.031	8.223	34122.285	0	1.038	16.866	1.434	3155.646	0	0.056	0.702	0.087	169.559	0	0.162	1.881	0.247	491.146	0	0.677	1.283	0.242	2057.59	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_1.im3"	"Tumor"	9	NA	984	404	"#N/A"	"#N/A"	1328	"0.09 %"	0.3	30.12	71.21	2.36	0.248	0.779	3.15	0.625	1034.421	0	0.136	1.07	0.144	180.352	0	0.774	3.753	0.612	1027.715	0.711	8.502	35.787	7.462	11290.273	0	1.304	22.081	1.901	1731.486	0	0.047	1.153	0.095	62.132	0	0.139	1.333	0.197	184.54	0	0.614	1.346	0.261	815.892	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_1.im3"	"Tumor"	10	NA	666	412	"#N/A"	"#N/A"	864	"0.06 %"	0.5	27.94	44.91	1.61	0.256	0.548	2.17	0.381	473.48	0	0.224	1.295	0.177	193.802	0	0.535	2.659	0.463	461.886	0.524	4.379	26.458	4.13	3783.034	0	0.697	4.048	0.67	602.405	0	0.044	0.314	0.05	38.379	0	0.176	1.651	0.268	152.141	0.099	0.805	1.237	0.172	695.454	NA	NA	0	0	0	0	NA
