"Path"	"Sample_Name"	"Tissue_Category"	"Region_ID"	"Total_Regions"	"Region_X_Position"	"Region_Y_Position"	"Process_Region_ID"	"Distance_from_Process_Region_Edge_pixels"	"Region_Area_pixels"	"Region_Area_percent"	"Region_Compactness"	"Region_Minor_Axis"	"Region_Major_Axis"	"Region_Axis_Ratio"	"DAPI_Min_Normalized_Counts_Total_Weighting"	"DAPI_Mean_Normalized_Counts_Total_Weighting"	"DAPI_Max_Normalized_Counts_Total_Weighting"	"DAPI_Std_Dev_Normalized_Counts_Total_Weighting"	"DAPI_Total_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Min_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Mean_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Max_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Std_Dev_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Total_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Min_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Mean_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Max_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Std_Dev_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Total_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Min_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Mean_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Max_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Std_Dev_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Total_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Min_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Mean_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Max_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Std_Dev_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Total_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Min_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Mean_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Max_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Std_Dev_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Total_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Min_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Mean_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Max_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Std_Dev_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Total_Normalized_Counts_Total_Weighting"	"Autofluorescence_Min_Normalized_Counts_Total_Weighting"	"Autofluorescence_Mean_Normalized_Counts_Total_Weighting"	"Autofluorescence_Max_Normalized_Counts_Total_Weighting"	"Autofluorescence_Std_Dev_Normalized_Counts_Total_Weighting"	"Autofluorescence_Total_Normalized_Counts_Total_Weighting"	"Lab_ID"	"Slide_ID"	"TMA_Sector"	"TMA_Row"	"TMA_Column"	"TMA_Field"	"inForm_2_2_5800_23313"
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	23	NA	1040	454	"#N/A"	"#N/A"	1856	"0.13 %"	0.37	42.23	72.29	1.71	0.138	0.389	2.944	0.408	722.871	0	0.062	0.282	0.058	115.041	0	0.32	2.03	0.346	594.407	0.106	3.925	17.61	3.539	7283.883	0	0.236	2.466	0.327	437.543	0	0.042	0.462	0.061	78.094	0	0.086	0.265	0.039	159.228	0.368	0.734	1.25	0.111	1362.86	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	24	NA	142	460	"#N/A"	"#N/A"	880	"0.06 %"	0.5	32	44.04	1.38	0.171	0.226	0.314	0.022	198.451	0	0.109	0.279	0.039	95.853	0	0.063	0.406	0.081	55.128	0.012	0.677	2.638	0.263	595.628	0	0.169	0.764	0.122	148.804	0	0.035	0.128	0.03	30.611	0	0.061	0.118	0.021	53.578	0.448	0.631	0.873	0.075	555.147	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	25	NA	1120	520	"#N/A"	"#N/A"	1264	"0.09 %"	0.27	48.14	63.9	1.33	0.172	0.421	3.814	0.474	532.344	0	0.098	0.331	0.068	123.322	0	0.281	1.511	0.293	355.373	0.175	3.173	11.669	2.623	4010.08	0	0.208	1.403	0.211	263.054	0	0.044	0.198	0.037	55.028	0	0.08	0.236	0.038	100.971	0.409	0.827	1.354	0.113	1044.728	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	26	NA	776	550	"#N/A"	"#N/A"	3024	"0.21 %"	0.17	60.16	120.13	2	0.174	0.701	3.289	0.584	2118.668	0	0.109	0.823	0.093	331.008	0	0.232	1.567	0.266	701.803	0	2.58	14.308	2.378	7802.554	0	0.232	1.73	0.266	700.582	0	0.089	2.019	0.158	270.59	0	0.1	0.276	0.043	301.376	0.382	0.814	1.825	0.171	2462.679	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	27	NA	338	554	"#N/A"	"#N/A"	3152	"0.22 %"	0.38	51.63	95.49	1.85	0.131	0.494	3.299	0.547	1556.541	0	0.182	1.571	0.219	573.485	0	0.303	2.025	0.336	954.176	0	3.533	14.05	3.137	11136.581	0	0.248	2.087	0.276	781.714	0	0.062	0.942	0.106	196.157	0	0.102	0.336	0.045	320.52	0.373	0.663	1.005	0.089	2090.247	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	28	NA	1238	606	"#N/A"	"#N/A"	4048	"0.28 %"	0.14	68.34	126.95	1.86	0.153	0.324	2.28	0.248	1311.196	0	0.078	0.438	0.058	314.987	0	0.186	1.486	0.262	751.114	0	2.359	11.973	2.675	9547.993	0	0.196	1.601	0.192	794.894	0	0.038	0.204	0.035	153.615	0	0.064	0.231	0.033	259.24	0.439	0.76	1.326	0.086	3077.338	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	29	NA	1014	600	"#N/A"	"#N/A"	1344	"0.09 %"	0.19	42.04	97.88	2.33	0.17	0.306	2.318	0.264	411.926	0	0.101	0.66	0.07	135.879	0	0.114	1.131	0.189	153.232	0	1.339	8.217	1.504	1800.021	0	0.17	1.209	0.161	229.131	0	0.042	0.162	0.032	56.821	0	0.066	0.166	0.028	89.358	0.384	0.738	1.101	0.105	991.307	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	30	NA	1120	600	"#N/A"	"#N/A"	1296	"0.09 %"	0.19	40.44	83.65	2.07	0.153	0.274	1.612	0.138	354.709	0	0.142	0.806	0.115	184.494	0	0.172	1.87	0.262	222.951	0	1.721	7.928	1.54	2230.168	0	0.195	1.72	0.215	253.19	0	0.04	0.184	0.033	51.799	0	0.067	0.169	0.03	86.779	0.489	0.731	0.98	0.076	947.551	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	31	NA	552	596	"#N/A"	"#N/A"	2624	"0.18 %"	0.23	53.28	95.62	1.79	0.175	0.512	3.914	0.53	1343.149	0	0.077	0.517	0.049	202.74	0	0.188	1.707	0.308	494.186	0.117	2.247	15.094	2.974	5895.771	0	0.167	1.856	0.219	438.356	0	0.038	0.181	0.034	100.344	0	0.087	0.38	0.044	227.216	0.329	0.696	1.091	0.095	1827.421	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	32	NA	202	616	"#N/A"	"#N/A"	1616	"0.11 %"	0.34	40.85	71.72	1.76	0.119	0.313	1.81	0.307	506.124	0	0.264	1.331	0.258	426.331	0	0.388	2.391	0.355	626.482	0.415	3.975	13.311	2.587	6422.81	0	0.271	2.746	0.354	438.496	0	0.033	0.192	0.033	52.761	0	0.103	0.253	0.044	166.837	0.404	0.684	1.033	0.083	1105.61	NA	NA	0	0	0	0	NA
